DATE,ETH_HOLDINGS_9009,ETH_HOLDINGS_9046,ETH_HOLDINGS_9179,INFLOW_OUTFLOW_9009,INFLOW_OUTFLOW_9046,INFLOW_OUTFLOW_9179,PRICE,VALUE_9009,VALUE_9046,VALUE_9179
2025-05-09,-46.6,10269.600483126998,3464.7296599094307,,,,2196.32,-102348.51200000002,22555328.93310149,7609655.046652282
2025-05-10,-46.6,10271.26174068292,4195.984369344776,0.0,1.661257555921111,731.2547094353449,2337.81,-108941.946,24012258.409985937,9809414.21849791
2025-05-11,-46.6,10271.26174068292,4196.936972314942,0.0,0.0,0.9526029701664812,2529.4,-117870.04,25980129.446883377,10615732.377773415
2025-05-12,-46.6,10271.26174068292,4157.675591891317,0.0,0.0,-39.26138042362527,2505.51,-116756.76600000002,25734749.003898464,10417097.772239614
2025-05-13,-46.57,10884.875235588232,4635.220355936131,0.0300000000000011,613.6134949053121,477.54476404481466,2458.08,-114472.7856,26755894.11909472,11393742.452519486
2025-05-14,-46.57,11586.580469326673,4458.350105512253,0.0,701.7052337384412,-176.87025042387813,2671.4,-124407.098,30952391.065759275,11910036.471865434
2025-05-15,-46.57,11588.040174889566,4835.067740035343,0.0,1.45970556289285,376.71763452309006,2588.49,-120545.9793,29995526.11229989,12515524.494404083
2025-05-16,-46.57,12507.8240529976,4558.854815670304,0.0,919.7838781080336,-276.2129243650397,2581.84,-120236.2888,32293200.45299132,11770233.717290215
2025-05-17,-46.57,12509.135813867602,4674.345804333952,0.0,1.311760870003127,115.49098866364876,2466.79,-114878.4103,30857411.13429046,11530629.48667295
2025-05-18,-46.57,12509.135813867602,4717.415175476802,0.0,0.0,43.06937114284938,2486.08,-115776.7456,31098712.364139967,11727871.519449366
2025-05-19,-46.57,12509.135813867602,4674.345804333952,0.0,0.0,-43.06937114285029,2428.4,0.0,0.0,-104589.66088329763
